data_ref_pascoa_2026,data,dia_da_semana,antecedencia,rota_principal,sentido,tipo_assento,turno,buscas_pascoa_2026,buscas_atual,pax,capacidade_atual,vagas_restantes,lf_pascoa_2026,load_factor_atual,ratio_lf_pascoa_2026,tkm_pascoa_2026,tkm_atual,price_cc,mult_final,data_atualizacao,preco_cenario_atual,mult_flutuacao,preco_flutuacao,preco_maximo_feriado
2026-04-01,2026-06-02,3,18,ANG-BHZ,ANG-BHZ,semi leito,NOITE,43.0,14.0,3,43,40,0.0435,0.0604,1.3885,99.71,128.9,0.0,0.0,,0.0,0.0,160.9,474.28
2026-04-02,2026-06-03,4,19,ANG-BHZ,ANG-BHZ,semi leito,NOITE,51.0,71.0,6,46,40,0.2257,0.1246,0.5521,193.01,143.57,0.0,0.0,,0.0,0.0,160.9,474.28
2026-04-03,2026-06-04,5,20,ANG-BHZ,ANG-BHZ,semi leito,NOITE,30.0,29.0,5,43,38,0.3543,0.0918,0.2591,158.82,111.1,0.0,1.01,,146.9,1.0,146.9,474.28
2026-04-04,2026-06-05,6,21,ANG-BHZ,ANG-BHZ,semi leito,NOITE,20.0,30.0,9,46,37,0.3167,0.1869,0.5901,158.82,136.79,0.0,1.0,,160.9,1.0,160.9,474.28
2026-04-05,2026-06-07,1,23,ANG-BHZ,ANG-BHZ,semi leito,NOITE,110.0,127.0,34,103,69,0.4091,0.3203,0.7829,356.44,293.72,0.0,1.43,2026-05-14 13:23:03.427540,229.9,1.1,253.46,474.28
2026-04-06,2026-06-08,2,24,ANG-BHZ,ANG-BHZ,semi leito,NOITE,29.0,30.0,16,46,30,0.441,0.3244,0.7356,256.62,193.9,0.0,1.34,,214.9,1.05,225.65,474.28
2026-04-01,2026-06-02,3,18,ARB-SAO,ARB-SAO,leito individual,NOITE,171.0,79.0,8,159,151,0.1309,0.044,0.3361,158.47,130.03,0.0,1.14,,127.9,0.95,121.5,421.8
2026-04-02,2026-06-03,4,19,ARB-SAO,ARB-SAO,leito,NOITE,421.0,366.0,47,153,106,0.3905,0.263,0.6735,169.07,146.84,0.0,1.25,,139.9,1.12,156.22,421.8
2026-04-03,2026-06-04,5,20,ARB-SAO,ARB-SAO,leito,NOITE,216.0,202.0,22,159,137,0.2162,0.1133,0.5241,130.0,110.95,0.0,1.0,,122.9,1.0,122.9,421.8
2026-04-04,2026-06-05,6,21,ARB-SAO,ARB-SAO,leito,NOITE,67.0,180.0,20,153,133,0.1866,0.1095,0.5868,130.0,122.9,0.0,1.0,,134.9,1.0,134.9,421.8
2026-04-04,2026-06-06,7,22,ARB-SAO,ARB-SAO,leito individual,NOITE,65.0,69.0,15,103,88,0.1802,0.1269,0.7042,130.0,151.17,0.0,1.34,,156.9,1.0,156.9,421.8
2026-04-05,2026-06-07,1,23,ARB-SAO,ARB-SAO,leito,NOITE,118.0,87.0,46,156,110,0.2362,0.2525,1.069,230.59,164.51,0.0,1.19,,168.9,1.1,185.79,421.8
2026-04-06,2026-06-08,2,24,ARB-SAO,ARB-SAO,leito individual,NOITE,86.0,55.0,15,156,141,0.251,0.0775,0.3088,182.61,123.1,0.0,1.12,,125.9,0.0,165.57,421.8
2026-04-01,2026-06-02,3,18,BAT-SAO,BAT-SAO,semi leito,TARDE,58.0,29.0,0,46,46,0.0614,0.0,0.0,88.34,0.0,241.45,1.0,,116.9,1.0,116.9,281.88
2026-04-02,2026-06-03,4,19,BAT-SAO,BAT-SAO,semi leito,NOITE,210.0,188.0,18,45,27,0.2043,0.387,1.8943,177.49,121.96,241.45,1.14,,155.9,1.31,204.62,281.88
2026-04-02,2026-06-03,4,19,BAT-SAO,BAT-SAO,semi leito,TARDE,210.0,188.0,9,45,36,0.1017,0.1551,1.5251,128.68,78.79,241.45,0.0,,0.0,1.0,129.9,281.88
2026-04-03,2026-06-04,5,20,BAT-SAO,BAT-SAO,semi leito,MANHA,105.0,96.0,7,45,38,0.044,0.1427,3.2432,76.22,97.61,199.27,1.22,,151.9,1.0,151.9,281.88
2026-04-03,2026-06-04,5,20,BAT-SAO,BAT-SAO,semi leito,NOITE,105.0,96.0,3,45,42,0.0217,0.0667,3.0737,90.63,91.23,164.7,1.02,,146.9,1.0,146.9,281.88
2026-04-03,2026-06-04,5,20,BAT-SAO,BAT-SAO,semi leito,TARDE,105.0,96.0,0,46,46,0.0435,0.0,0.0,71.21,0.0,164.7,1.26,,155.9,1.0,155.9,281.88
2026-04-04,2026-06-05,6,21,BAT-SAO,BAT-SAO,semi leito,MANHA,45.0,85.0,2,45,43,0.044,0.0338,0.7682,76.22,62.4,199.28,1.0,,123.9,1.0,123.9,281.88
2026-04-04,2026-06-05,6,21,BAT-SAO,BAT-SAO,semi leito,NOITE,45.0,85.0,5,45,40,0.0217,0.109,5.023,90.63,89.9,219.5,1.0,,142.9,1.0,142.9,281.88
2026-04-04,2026-06-05,6,21,BAT-SAO,BAT-SAO,semi leito,TARDE,45.0,85.0,4,46,42,0.0435,0.0475,1.092,71.21,48.65,241.45,1.0,,129.9,1.0,129.9,281.88
2026-04-04,2026-06-06,7,22,BAT-SAO,BAT-SAO,semi leito,MANHA,44.0,72.0,2,45,43,0.0329,0.0444,1.3495,76.22,93.4,199.28,1.28,,149.9,1.0,149.9,281.88
2026-04-05,2026-06-07,1,23,BAT-SAO,BAT-SAO,semi leito,MANHA,87.0,65.0,19,45,26,0.1788,0.3814,2.1331,184.76,201.16,199.28,1.53,,229.9,1.1,253.46,281.88
2026-04-05,2026-06-07,1,23,BAT-SAO,BAT-SAO,semi leito,NOITE,87.0,65.0,5,45,40,0.314,0.1025,0.3264,169.74,156.5,219.5,1.22,,182.9,1.0,182.9,281.88
2026-04-05,2026-06-07,1,23,BAT-SAO,BAT-SAO,semi leito,TARDE,87.0,65.0,5,46,41,0.0766,0.0668,0.8721,160.5,93.5,241.45,1.35,,184.9,1.0,184.9,281.88
2026-04-06,2026-06-08,2,24,BAT-SAO,BAT-SAO,semi leito,MANHA,44.0,29.0,6,45,39,0.2356,0.1182,0.5017,96.9,98.57,199.28,1.21,,150.9,0.0,150.9,281.88
2026-04-06,2026-06-08,2,24,BAT-SAO,BAT-SAO,semi leito,NOITE,44.0,29.0,5,45,40,0.0889,0.1025,1.153,107.03,88.5,164.7,1.11,,143.9,1.0,143.9,281.88
2026-04-06,2026-06-08,2,24,BAT-SAO,BAT-SAO,semi leito,TARDE,44.0,29.0,8,46,38,0.0787,0.1389,1.7649,101.8,60.52,164.7,1.13,,131.9,1.05,138.5,281.88
2026-04-01,2026-06-02,3,18,ANG-BHZ,BHZ-ANG,semi leito,NOITE,444.0,76.0,3,46,43,0.5716,0.0604,0.1057,272.22,128.9,0.0,0.0,,0.0,0.0,160.9,474.28
2026-04-02,2026-06-03,4,19,ANG-BHZ,BHZ-ANG,semi leito,NOITE,784.0,737.0,37,103,66,0.3114,0.3314,1.0642,278.36,156.58,0.0,0.0,,0.0,1.0,160.9,474.28
2026-04-03,2026-06-04,5,20,ANG-BHZ,BHZ-ANG,semi leito,NOITE,215.0,302.0,3,46,43,0.0433,0.0592,1.3672,130.64,138.57,0.0,1.0,,185.9,0.9,167.31,474.28
2026-04-04,2026-06-05,6,21,ANG-BHZ,BHZ-ANG,semi leito,NOITE,42.0,121.0,5,43,38,0.0433,0.1163,2.6859,130.64,148.1,0.0,1.0,,168.9,0.95,160.45,474.28
2026-04-05,2026-06-07,1,23,ANG-BHZ,BHZ-ANG,semi leito,NOITE,93.0,55.0,4,46,42,0.2401,0.0696,0.2899,239.96,152.9,0.0,1.07,,171.9,0.95,163.31,474.28
2026-04-06,2026-06-08,2,24,ANG-BHZ,BHZ-ANG,semi leito,NOITE,149.0,57.0,5,43,38,0.3327,0.1066,0.3204,217.83,133.9,0.0,1.06,,153.9,0.0,152.9,474.28
2026-04-01,2026-06-02,3,18,BHZ-BSB,BHZ-BSB,leito individual,NOITE,189.0,93.0,9,91,82,0.0769,0.0987,1.2835,261.63,161.34,0.0,1.23,,176.9,0.99,175.13,432.68
2026-04-02,2026-06-03,4,19,BHZ-BSB,BHZ-BSB,leito,NOITE,323.0,449.0,34,91,57,0.1875,0.3734,1.9915,252.21,214.54,0.0,1.48,2026-05-11 18:59:14.190175,224.9,1.25,281.13,432.68
2026-04-03,2026-06-04,5,20,BHZ-BSB,BHZ-BSB,leito individual,NOITE,108.0,178.0,20,91,71,0.0769,0.2198,2.8583,182.85,146.05,0.0,1.08,,155.9,1.12,174.61,432.68
2026-04-04,2026-06-05,6,21,BHZ-BSB,BHZ-BSB,leito,NOITE,37.0,197.0,11,91,80,0.2658,0.1209,0.4549,182.85,143.16,0.0,1.0,,150.9,1.16,175.04,432.68
2026-04-04,2026-06-06,7,22,BHZ-BSB,BHZ-BSB,leito,NOITE,37.0,52.0,5,45,40,0.2031,0.1111,0.547,182.85,138.1,0.0,1.04,,141.9,1.23,174.54,432.68
2026-04-05,2026-06-07,1,23,BHZ-BSB,BHZ-BSB,leito individual,NOITE,116.0,93.0,33,91,58,0.3846,0.3598,0.9355,336.94,246.08,0.0,1.39,,262.9,1.15,302.33,432.68
2026-04-06,2026-06-08,2,24,BHZ-BSB,BHZ-BSB,leito individual,NOITE,73.0,65.0,15,91,76,0.1538,0.1637,1.0644,232.55,142.28,0.0,1.04,,173.9,1.01,175.64,432.68
2026-04-01,2026-06-02,3,18,BHZ-CAB,BHZ-CAB,semi leito,NOITE,2926.0,480.0,100,244,144,0.5923,0.3802,0.6419,215.63,142.96,264.98,1.19,,170.9,1.0,170.9,542.08
