data,data_ref,eixo_sentido,rota_principal,antecedencia,pax_atual,pax_referencia,diff_pax,grupos_atual,grupos_referencia,cash_atual,cash_referencia,gmv_atual,gmv_referencia,ticket_medio_atual,ticket_medio_referencia,lf_atual,lf_referencia,yield_atual,yield_referencia
2026-06-06,2026-04-04,ARB-SAO,ARB-SAO,44,0,2,-2,1,2,0.0,215.8,0.0,215.8,,107.9,0.0,0.019,,0.208
2026-06-06,2026-04-04,SAO-ARB,ARB-SAO,44,1,0,1,1,2,115.9,0.0,115.9,0.0,115.9,,0.024,0.0,0.224,
2026-06-06,2026-04-04,SAO-ARB,ARB-SAO,43,1,0,1,1,2,115.9,0.0,115.9,0.0,115.9,,0.024,0.0,0.224,
2026-06-06,2026-04-04,ARB-SAO,ARB-SAO,43,0,2,-2,1,2,0.0,215.8,0.0,215.8,,107.9,0.0,0.019,,0.208
2026-06-06,2026-04-04,ARB-SAO,ARB-SAO,42,0,2,-2,1,2,0.0,215.8,0.0,215.8,,107.9,0.0,0.019,,0.208
2026-06-06,2026-04-04,SAO-ARB,ARB-SAO,42,1,0,1,1,2,115.9,0.0,115.9,0.0,115.9,,0.024,0.0,0.224,
2026-06-06,2026-04-04,ARB-SAO,ARB-SAO,41,0,2,-2,1,2,0.0,215.8,0.0,215.8,,107.9,0.0,0.019,,0.208
2026-06-06,2026-04-04,SAO-ARB,ARB-SAO,41,1,0,1,1,2,115.9,0.0,115.9,0.0,115.9,,0.024,0.0,0.224,
2026-06-06,2026-04-04,SAO-ARB,ARB-SAO,40,1,0,1,1,2,115.9,0.0,115.9,0.0,115.9,,0.024,0.0,0.224,
2026-06-06,2026-04-04,ARB-SAO,ARB-SAO,40,0,2,-2,1,2,0.0,215.8,0.0,215.8,,107.9,0.0,0.019,,0.208
2026-06-06,2026-04-04,ARB-SAO,ARB-SAO,39,0,2,-2,1,2,0.0,215.8,0.0,215.8,,107.9,0.0,0.019,,0.208
2026-06-06,2026-04-04,SAO-ARB,ARB-SAO,39,1,0,1,1,2,115.9,0.0,115.9,0.0,115.9,,0.024,0.0,0.224,
2026-06-06,2026-04-04,SAO-ARB,ARB-SAO,38,1,0,1,1,2,115.9,0.0,115.9,0.0,115.9,,0.024,0.0,0.224,
2026-06-06,2026-04-04,ARB-SAO,ARB-SAO,38,0,2,-2,1,2,0.0,215.8,0.0,215.8,,107.9,0.0,0.019,,0.208
2026-06-06,2026-04-04,SAO-ARB,ARB-SAO,37,1,0,1,1,2,115.9,0.0,115.9,0.0,115.9,,0.024,0.0,0.224,
2026-06-06,2026-04-04,ARB-SAO,ARB-SAO,37,0,2,-2,1,2,0.0,215.8,0.0,215.8,,107.9,0.0,0.019,,0.208
2026-06-06,2026-04-04,SAO-ARB,ARB-SAO,36,1,0,1,1,2,115.9,0.0,115.9,0.0,115.9,,0.024,0.0,0.224,
2026-06-06,2026-04-04,ARB-SAO,ARB-SAO,36,0,2,-2,1,2,0.0,215.8,0.0,215.8,,107.9,0.0,0.019,,0.208
2026-06-06,2026-04-04,SAO-ARB,ARB-SAO,35,1,0,1,1,2,115.9,0.0,115.9,0.0,115.9,,0.024,0.0,0.224,
2026-06-06,2026-04-04,ARB-SAO,ARB-SAO,35,1,3,-2,1,2,125.9,359.7,125.9,359.7,125.9,119.90000000000002,0.019,0.029,0.296,0.229
2026-06-06,2026-04-04,ARB-SAO,ARB-SAO,34,1,3,-2,1,2,125.9,359.7,125.9,359.7,125.9,119.90000000000002,0.019,0.029,0.296,0.229
2026-06-06,2026-04-04,SAO-ARB,ARB-SAO,34,1,0,1,1,2,115.9,0.0,115.9,0.0,115.9,,0.024,0.0,0.224,
2026-06-06,2026-04-04,ARB-SAO,ARB-SAO,33,2,3,-1,1,2,284.8,359.7,284.8,359.7,142.4,119.90000000000002,0.041,0.029,0.304,0.229
2026-06-06,2026-04-04,SAO-ARB,ARB-SAO,33,1,0,1,1,2,115.9,0.0,115.9,0.0,115.9,,0.024,0.0,0.224,
2026-06-06,2026-04-04,SAO-ARB,ARB-SAO,32,5,0,5,2,2,557.5,0.0,557.5,0.0,111.5,,0.046,0.0,0.193,
